Datetime, D6063059, 1stStgSens, Tube, Null, 2ndStgHeat, 1stStgHeat, AIO 1, AIO 2, AIO 3, AIO 4, DIO, Relays, V1, V2, V3
10:38:01.953 AM 2/13/2018 , 300.0195, 300.0809, 298.5800, NaN, 0.951768, 32.60667, 0.416486, 0.412564, 0.410028, 0.937735, 0, 0, 300.0122, 300.0709, NaN 
10:38:02.954 AM 2/13/2018 , 300.0209, 300.0821, 298.5807, NaN, 0.951213, 32.64700, 0.416470, 0.412547, 0.410011, 0.937769, 0, 0, 300.0137, 300.0733, NaN 
10:38:03.945 AM 2/13/2018 , 300.0224, 300.0852, 298.5809, NaN, 0.951208, 32.68556, 0.416490, 0.412567, 0.410025, 0.937767, 0, 0, 300.0153, 300.0756, NaN 
10:38:04.947 AM 2/13/2018 , 300.0242, 300.0868, 298.5806, NaN, 0.950734, 32.71541, 0.416576, 0.412650, 0.410093, 0.937799, 0, 0, 300.0169, 300.0776, NaN 
10:38:05.948 AM 2/13/2018 , 300.0255, 300.0889, 298.5820, NaN, 0.951302, 32.74420, 0.416581, 0.412655, 0.410106, 0.937846, 0, 0, 300.0185, 300.0798, NaN 
10:38:06.950 AM 2/13/2018 , 300.0270, 300.0902, 298.5822, NaN, 0.950903, 32.77017, 0.416585, 0.412647, 0.410120, 0.937859, 0, 0, 300.0203, 300.0823, NaN 
10:38:07.951 AM 2/13/2018 , 300.0285, 300.0927, 298.5833, NaN, 0.950911, 32.79312, 0.416571, 0.412633, 0.410096, 0.937810, 0, 0, 300.0219, 300.0844, NaN 
10:38:08.953 AM 2/13/2018 , 300.0322, 300.0950, 298.5841, NaN, 0.951292, 32.81332, 0.416533, 0.412611, 0.410080, 0.937741, 0, 0, 300.0236, 300.0865, NaN 
10:38:09.944 AM 2/13/2018 , 300.0338, 300.0968, 298.5841, NaN, 0.951206, 32.83158, 0.416538, 0.412614, 0.410075, 0.937649, 0, 0, 300.0253, 300.0885, NaN 
10:38:10.945 AM 2/13/2018 , 300.0323, 300.0988, 298.5848, NaN, 0.951386, 32.84596, 0.416550, 0.412626, 0.410074, 0.937687, 0, 0, 300.0271, 300.0904, NaN 
10:38:11.947 AM 2/13/2018 , 300.0286, 300.1000, 298.5848, NaN, 0.951293, 32.86139, 0.416540, 0.412632, 0.410081, 0.937625, 0, 0, 300.0289, 300.0924, NaN 
10:38:12.948 AM 2/13/2018 , 300.0163, 300.1017, 298.5843, NaN, 0.951293, 32.87390, 0.416521, 0.412606, 0.410057, 0.937625, 0, 0, 300.0303, 300.0943, NaN 
10:38:13.950 AM 2/13/2018 , 299.9956, 300.1032, 298.5841, NaN, 0.951289, 32.88434, 0.416507, 0.412604, 0.410064, 0.937613, 0, 0, 300.0303, 300.0962, NaN 
10:38:14.951 AM 2/13/2018 , 299.9490, 300.1008, 298.5869, NaN, 0.950903, 32.89592, 0.416531, 0.412625, 0.410078, 0.937596, 0, 0, 300.0277, 300.0980, NaN 
10:38:15.953 AM 2/13/2018 , 299.8839, 300.0924, 298.5928, NaN, 0.950604, 32.90454, 0.416527, 0.412619, 0.410084, 0.937681, 0, 0, 300.0198, 300.0996, NaN 
10:38:16.944 AM 2/13/2018 , 299.7915, 300.0766, 298.6056, NaN, 0.950813, 32.91221, 0.416557, 0.412636, 0.410095, 0.937622, 0, 0, 300.0033, 300.1002, NaN 
10:38:17.946 AM 2/13/2018 , 299.6712, 300.0477, 298.6278, NaN, 0.950903, 32.92092, 0.416553, 0.412629, 0.410084, 0.937607, 0, 0, 299.9739, 300.0989, NaN 
10:38:18.947 AM 2/13/2018 , 299.5253, 299.9993, 298.6604, NaN, 0.950820, 32.92769, 0.416516, 0.412599, 0.410057, 0.937653, 0, 0, 299.9274, 300.0941, NaN 
10:38:19.948 AM 2/13/2018 , 299.3566, 299.9273, 298.7083, NaN, 0.950731, 32.93350, 0.416492, 0.412593, 0.410046, 0.937721, 0, 0, 299.8601, 300.0831, NaN 
10:38:20.950 AM 2/13/2018 , 299.1737, 299.8256, 298.7713, NaN, 0.950904, 32.94023, 0.416521, 0.412620, 0.410074, 0.937752, 0, 0, 299.7697, 300.0627, NaN 
